1.837	3.135	0.300	2.992	3.309
0.000	2.285	0.300	2.285	1.007
0.252	0.788	0.300	1.721	0.704
1.335	2.123	0.300	1.941	0.387
0.347	0.001	1.367	0.751	0.580
1.242	1.859	0.100	1.859	1.422
1.284	0.306	0.100	0.317	1.409
1.839	0.267	2.167	1.305	0.378
1.935	0.761	0.968	0.988	1.833
1.055	0.561	0.100	0.341	2.789
0.710	1.020	0.100	0.837	1.159
1.227	0.697	0.100	0.778	0.989
1.325	0.637	0.000	0.311	2.135
1.243	2.080	0.277	1.738	0.351
1.648	0.183	2.184	0.812	2.337
2.472	0.880	1.445	0.880	3.561
2.122	1.580	0.770	1.176	0.333
1.896	0.393	2.298	0.465	3.117
1.337	1.287	0.000	1.004	2.907
0.476	2.800	0.000	1.182	2.214
2.320	1.732	0.842	1.881	0.354
1.245	0.943	3.420	0.814	1.199
1.515	0.461	1.622	0.211	3.973
1.432	1.296	2.184	0.404	2.650
0.071	0.409	6.492	0.550	2.580
1.311	3.639	0.000	0.129	3.076
1.617	0.805	2.298	0.805	2.974
0.409	1.085	4.408	1.129	1.733
1.733	2.633	0.000	2.474	2.122
1.845	1.363	3.354	1.840	0.562
1.291	1.924	0.000	1.240	4.792
1.242	0.686	2.184	0.375	5.260
1.532	1.986	4.902	1.060	0.646
2.855	1.278	1.444	1.293	3.430
2.106	2.738	1.122	1.974	2.448
1.442	1.944	2.184	1.949	2.938
2.543	0.583	6.707	0.619	0.078
1.322	1.045	4.230	0.494	3.602
0.919	1.376	3.718	1.165	3.620
1.556	0.545	5.194	0.069	3.775
1.247	0.255	7.518	0.561	3.277
4.044	1.134	2.419	0.672	3.222
3.984	1.148	1.823	1.808	2.876
2.154	2.257	3.354	2.316	1.936
4.822	1.453	2.230	1.667	2.022
3.923	2.037	1.122	1.231	4.091
3.905	1.155	3.260	0.989	3.437
5.084	0.098	3.718	0.330	3.697
4.264	2.131	1.956	2.408	2.471
2.094	1.277	2.789	1.198	6.170
2.352	1.415	5.055	1.269	3.543
4.873	2.880	0.000	2.270	3.745
3.620	2.980	0.000	2.980	4.715
3.499	0.486	6.995	0.718	3.201
3.429	1.195	6.939	1.082	2.566
5.881	2.513	1.412	2.222	3.556
4.435	2.449	2.506	2.760	3.605
3.212	1.279	4.252	1.279	5.919
1.487	1.874	5.829	2.104	4.885
3.321	2.525	4.085	2.181	4.367
1.813	1.849	3.718	1.960	4.549
0.909	0.723	11.644	0.095	3.722
2.083	0.762	7.931	0.103	3.413
4.649	1.293	5.172	1.219	2.052
4.031	3.425	1.841	2.946	4.961
5.177	3.104	2.184	2.784	4.088
6.005	2.858	3.006	2.735	2.923
7.506	3.301	0.000	2.889	3.978
10.737	1.854	5.190	2.102	3.342
3.892	1.292	8.669	0.621	3.747
3.548	3.461	3.989	3.619	3.818
2.889	3.906	3.402	3.564	4.816
7.995	1.769	4.367	2.196	2.342
2.551	2.341	4.182	2.806	7.072
4.753	2.269	6.110	3.009	3.103
4.753	2.667	6.200	2.618	3.333
5.795	3.122	2.419	2.965	5.395
4.566	3.603	2.857	3.603	5.208
3.971	5.071	2.699	4.268	3.959
1.553	2.360	8.985	2.548	4.767
4.220	4.174	5.425	3.454	3.006
1.261	0.631	15.879	0.637	3.574
5.192	1.714	7.628	2.468	3.917
4.118	4.162	11.645	3.281	6.069
4.804	3.745	4.814	3.111	4.914
6.573	3.232	4.408	3.073	4.301
5.191	1.767	6.936	2.098	6.008
4.256	3.201	6.318	2.723	5.603
3.458	3.349	7.010	3.399	5.127
8.327	2.706	4.198	2.987	4.467
5.912	2.737	6.318	2.737	5.406
3.983	2.365	7.978	2.365	6.603
13.886	1.236	5.267	0.679	2.706
3.102	2.109	12.428	2.580	3.748
8.196	2.278	4.707	3.899	4.990
4.451	3.850	6.250	4.338	5.344
4.235	3.164	6.592	2.928	7.416
5.410	4.832	5.690	3.730	4.882
4.086	1.585	12.656	1.585	4.696
9.679	4.500	1.667	3.865	5.101
6.342	3.532	5.480	3.441	6.149
6.072	4.610	1.667	4.294	8.466
6.208	3.000	6.663	4.701	4.852
4.457	3.635	7.322	3.704	6.577
4.310	1.083	7.181	0.636	12.696
4.751	3.710	4.603	3.409	9.937
2.402	1.188	12.529	0.943	9.611
7.575	3.789	1.701	4.265	9.805
5.650	3.923	3.006	4.345	11.110
5.192	2.967	7.092	2.806	10.404
5.899	4.478	4.042	4.366	9.937
5.894	4.398	5.120	4.301	9.978
5.681	4.749	9.178	4.749	5.410
5.678	4.290	8.104	6.280	5.733
6.968	4.787	4.673	4.556	9.178
13.553	2.411	6.012	2.811	5.626
6.444	6.069	14.583	6.069	6.444
13.685	2.330	6.995	2.077	7.083
4.847	4.479	7.852	4.630	10.984
4.024	5.297	13.554	5.297	5.377
3.989	2.372	15.438	2.512	3.607
6.628	4.532	15.222	4.555	7.108
4.613	3.713	20.283	3.904	7.259
7.018	5.439	14.661	6.422	9.256
